Total Trees: 50000
[10000, 10000, 10000, 10000, 10000]
Loop: 0, 	0.003 sec
Loop: 1000, 	686.680 sec
Loop: 2000, 	1361.774 sec
Loop: 3000, 	2025.944 sec
Loop: 4000, 	2670.151 sec
Loop: 5000, 	3313.426 sec
Loop: 6000, 	3945.630 sec
Loop: 7000, 	4557.632 sec
Loop: 8000, 	5158.816 sec
Loop: 9000, 	5751.763 sec
Loop: 10000, 	6332.602 sec
Loop: 11000, 	6962.550 sec
Loop: 12000, 	7570.628 sec
Loop: 13000, 	8166.687 sec
Loop: 14000, 	8745.753 sec
Loop: 15000, 	9323.647 sec
Loop: 16000, 	9880.720 sec
Loop: 17000, 	10419.087 sec
Loop: 18000, 	10941.608 sec
Loop: 19000, 	11455.227 sec
Loop: 20000, 	11942.724 sec
Loop: 21000, 	12438.150 sec
Loop: 22000, 	12915.774 sec
Loop: 23000, 	13374.857 sec
Loop: 24000, 	13818.380 sec
Loop: 25000, 	14245.758 sec
Loop: 26000, 	14655.522 sec
Loop: 27000, 	15043.970 sec
Loop: 28000, 	15416.356 sec
Loop: 29000, 	15771.894 sec
Loop: 30000, 	16111.615 sec
Loop: 31000, 	16441.271 sec
Loop: 32000, 	16753.984 sec
Loop: 33000, 	17049.360 sec
Loop: 34000, 	17324.960 sec
Loop: 35000, 	17580.845 sec
Loop: 36000, 	17820.623 sec
Loop: 37000, 	18034.973 sec
Loop: 38000, 	18233.120 sec
Loop: 39000, 	18412.089 sec
Loop: 40000, 	18570.552 sec
Loop: 41000, 	18679.240 sec
Loop: 42000, 	18775.652 sec
Loop: 43000, 	18857.857 sec
Loop: 44000, 	18926.250 sec
Loop: 45000, 	18981.032 sec
Loop: 46000, 	19023.403 sec
Loop: 47000, 	19056.141 sec
Loop: 48000, 	19079.310 sec
Loop: 49000, 	19093.243 sec
