id, type, tree size
0, English-EWT, 17
1, English-EWT, 24
2, English-EWT, 29
3, English-EWT, 49
4, English-EWT, 18
5, English-EWT, 18
6, English-EWT, 13
7, English-EWT, 42
8, English-EWT, 23
9, English-EWT, 9
10, English-EWT, 7
11, English-EWT, 49
12, English-EWT, 28
13, English-EWT, 24
14, English-EWT, 20
15, English-EWT, 29
16, English-EWT, 26
17, English-EWT, 31
18, English-EWT, 30
19, English-EWT, 17
20, English-EWT, 29
21, English-EWT, 16
22, English-EWT, 6
23, English-EWT, 18
24, English-EWT, 10
25, English-EWT, 9
26, English-EWT, 30
27, English-EWT, 17
28, English-EWT, 19
29, English-EWT, 17
30, English-EWT, 21
31, English-EWT, 7
32, English-EWT, 10
33, English-EWT, 21
34, English-EWT, 24
35, English-EWT, 10
36, English-EWT, 24
37, English-EWT, 8
38, English-EWT, 24
39, English-EWT, 29
40, English-EWT, 10
41, English-EWT, 18
42, English-EWT, 10
43, English-EWT, 16
44, English-EWT, 6
45, English-EWT, 15
46, English-EWT, 27
47, English-EWT, 23
48, English-EWT, 62
49, English-EWT, 17
50, English-EWT, 6
51, English-EWT, 24
52, English-EWT, 22
53, English-EWT, 15
54, English-EWT, 29
55, English-EWT, 6
56, English-EWT, 19
57, English-EWT, 40
58, English-EWT, 9
59, English-EWT, 8
60, English-EWT, 15
61, English-EWT, 16
62, English-EWT, 28
63, English-EWT, 15
64, English-EWT, 7
65, English-EWT, 23
66, English-EWT, 13
67, English-EWT, 27
68, English-EWT, 31
69, English-EWT, 17
70, English-EWT, 6
71, English-EWT, 7
72, English-EWT, 40
73, English-EWT, 22
74, English-EWT, 8
75, English-EWT, 6
76, English-EWT, 38
77, English-EWT, 24
78, English-EWT, 8
79, English-EWT, 7
80, English-EWT, 97
81, English-EWT, 29
82, English-EWT, 14
83, English-EWT, 10
84, English-EWT, 17
85, English-EWT, 13
86, English-EWT, 28
87, English-EWT, 33
88, English-EWT, 21
89, English-EWT, 27
90, English-EWT, 30
91, English-EWT, 40
92, English-EWT, 7
93, English-EWT, 14
94, English-EWT, 22
95, English-EWT, 44
96, English-EWT, 17
97, English-EWT, 30
98, English-EWT, 45
99, English-EWT, 12
100, English-EWT, 7
101, English-EWT, 35
102, English-EWT, 7
103, English-EWT, 15
104, English-EWT, 10
105, English-EWT, 41
106, English-EWT, 6
107, English-EWT, 41
108, English-EWT, 20
109, English-EWT, 16
110, English-EWT, 12
111, English-EWT, 18
112, English-EWT, 21
113, English-EWT, 13
114, English-EWT, 17
115, English-EWT, 7
116, English-EWT, 21
117, English-EWT, 13
118, English-EWT, 13
119, English-EWT, 18
120, English-EWT, 21
121, English-EWT, 7
122, English-EWT, 17
123, English-EWT, 14
124, English-EWT, 21
125, English-EWT, 14
126, English-EWT, 35
127, English-EWT, 21
128, English-EWT, 9
129, English-EWT, 20
130, English-EWT, 23
131, English-EWT, 16
132, English-EWT, 20
133, English-EWT, 24
134, English-EWT, 14
135, English-EWT, 9
136, English-EWT, 29
137, English-EWT, 6
138, English-EWT, 21
139, English-EWT, 16
140, English-EWT, 18
141, English-EWT, 6
142, English-EWT, 26
143, English-EWT, 27
144, English-EWT, 23
145, English-EWT, 24
146, English-EWT, 12
147, English-EWT, 23
148, English-EWT, 7
149, English-EWT, 8
150, English-EWT, 12
151, English-EWT, 7
152, English-EWT, 8
153, English-EWT, 37
154, English-EWT, 19
155, English-EWT, 12
156, English-EWT, 23
157, English-EWT, 28
158, English-EWT, 8
159, English-EWT, 30
160, English-EWT, 9
161, English-EWT, 26
162, English-EWT, 17
163, English-EWT, 29
164, English-EWT, 24
165, English-EWT, 9
166, English-EWT, 15
167, English-EWT, 20
168, English-EWT, 19
169, English-EWT, 20
170, English-EWT, 21
171, English-EWT, 12
172, English-EWT, 38
173, English-EWT, 24
174, English-EWT, 26
175, English-EWT, 31
176, English-EWT, 44
177, English-EWT, 13
178, English-EWT, 12
179, English-EWT, 39
180, English-EWT, 43
181, English-EWT, 20
182, English-EWT, 33
183, English-EWT, 26
184, English-EWT, 16
185, English-EWT, 10
186, English-EWT, 6
187, English-EWT, 32
188, English-EWT, 14
189, English-EWT, 25
190, English-EWT, 7
191, English-EWT, 6
192, English-EWT, 28
193, English-EWT, 31
194, English-EWT, 8
195, English-EWT, 16
196, English-EWT, 9
197, English-EWT, 6
198, English-EWT, 10
199, English-EWT, 47
200, French-GSD, 7
201, French-GSD, 20
202, French-GSD, 15
203, French-GSD, 20
204, French-GSD, 40
205, French-GSD, 62
206, French-GSD, 18
207, French-GSD, 10
208, French-GSD, 59
209, French-GSD, 51
210, French-GSD, 47
211, French-GSD, 41
212, French-GSD, 14
213, French-GSD, 16
214, French-GSD, 56
215, French-GSD, 29
216, French-GSD, 26
217, French-GSD, 18
218, French-GSD, 37
219, French-GSD, 37
220, French-GSD, 33
221, French-GSD, 6
222, French-GSD, 39
223, French-GSD, 52
224, French-GSD, 9
225, French-GSD, 37
226, French-GSD, 23
227, French-GSD, 21
228, French-GSD, 25
229, French-GSD, 54
230, French-GSD, 21
231, French-GSD, 23
232, French-GSD, 11
233, French-GSD, 27
234, French-GSD, 30
235, French-GSD, 32
236, French-GSD, 40
237, French-GSD, 24
238, French-GSD, 28
239, French-GSD, 16
240, French-GSD, 29
241, French-GSD, 40
242, French-GSD, 24
243, French-GSD, 62
244, French-GSD, 12
245, French-GSD, 36
246, French-GSD, 25
247, French-GSD, 22
248, French-GSD, 39
249, French-GSD, 41
250, French-GSD, 24
251, French-GSD, 32
252, French-GSD, 14
253, French-GSD, 61
254, French-GSD, 19
255, French-GSD, 44
256, French-GSD, 52
257, French-GSD, 27
258, French-GSD, 23
259, French-GSD, 24
260, French-GSD, 28
261, French-GSD, 17
262, French-GSD, 32
263, French-GSD, 18
264, French-GSD, 9
265, French-GSD, 21
266, French-GSD, 47
267, French-GSD, 45
268, French-GSD, 26
269, French-GSD, 20
270, French-GSD, 12
271, French-GSD, 38
272, French-GSD, 9
273, French-GSD, 33
274, French-GSD, 27
275, French-GSD, 31
276, French-GSD, 13
277, French-GSD, 49
278, French-GSD, 19
279, French-GSD, 18
280, French-GSD, 53
281, French-GSD, 33
282, French-GSD, 13
283, French-GSD, 57
284, French-GSD, 32
285, French-GSD, 19
286, French-GSD, 42
287, French-GSD, 24
288, French-GSD, 14
289, French-GSD, 37
