id, type, tree size
0, English-EWT, 9
1, English-EWT, 24
2, English-EWT, 16
3, English-EWT, 19
4, English-EWT, 19
5, English-EWT, 15
6, English-EWT, 7
7, English-EWT, 50
8, English-EWT, 35
9, English-EWT, 10
10, English-EWT, 11
11, English-EWT, 27
12, English-EWT, 24
13, English-EWT, 41
14, English-EWT, 11
15, English-EWT, 11
16, English-EWT, 12
17, English-EWT, 7
18, English-EWT, 11
19, English-EWT, 14
20, English-EWT, 6
21, English-EWT, 53
22, English-EWT, 10
23, English-EWT, 9
24, English-EWT, 22
25, English-EWT, 6
26, English-EWT, 11
27, English-EWT, 24
28, English-EWT, 28
29, English-EWT, 11
30, English-EWT, 21
31, English-EWT, 13
32, English-EWT, 6
33, English-EWT, 7
34, English-EWT, 15
35, English-EWT, 7
36, English-EWT, 32
37, English-EWT, 9
38, English-EWT, 12
39, English-EWT, 6
40, English-EWT, 9
41, English-EWT, 11
42, English-EWT, 14
43, English-EWT, 24
44, English-EWT, 11
45, English-EWT, 16
46, English-EWT, 10
47, English-EWT, 21
48, English-EWT, 6
49, English-EWT, 12
50, English-EWT, 29
51, English-EWT, 14
52, English-EWT, 21
53, English-EWT, 8
54, English-EWT, 14
55, English-EWT, 20
56, English-EWT, 24
57, English-EWT, 9
58, English-EWT, 6
59, English-EWT, 19
60, English-EWT, 24
61, English-EWT, 19
62, English-EWT, 23
63, English-EWT, 9
64, English-EWT, 17
65, English-EWT, 13
66, English-EWT, 6
67, English-EWT, 22
68, English-EWT, 11
69, English-EWT, 27
70, English-EWT, 10
71, English-EWT, 8
72, English-EWT, 28
73, English-EWT, 24
74, English-EWT, 45
75, English-EWT, 14
76, English-EWT, 11
77, English-EWT, 49
78, English-EWT, 20
79, English-EWT, 31
80, English-EWT, 8
81, English-EWT, 17
82, English-EWT, 16
83, English-EWT, 20
84, English-EWT, 8
85, English-EWT, 24
86, English-EWT, 19
87, English-EWT, 41
88, English-EWT, 10
89, English-EWT, 16
90, English-EWT, 29
91, English-EWT, 10
92, English-EWT, 10
93, English-EWT, 22
94, English-EWT, 35
95, English-EWT, 10
96, English-EWT, 25
97, English-EWT, 27
98, English-EWT, 31
99, English-EWT, 48
100, English-EWT, 30
101, English-EWT, 19
102, English-EWT, 13
103, English-EWT, 25
104, English-EWT, 16
105, English-EWT, 6
106, English-EWT, 9
107, English-EWT, 28
108, English-EWT, 28
109, English-EWT, 15
110, English-EWT, 39
111, English-EWT, 11
112, English-EWT, 28
113, English-EWT, 15
114, English-EWT, 9
115, English-EWT, 18
116, English-EWT, 6
117, English-EWT, 30
118, English-EWT, 11
119, English-EWT, 6
120, English-EWT, 18
121, English-EWT, 24
122, English-EWT, 11
123, English-EWT, 31
124, English-EWT, 23
125, English-EWT, 12
126, English-EWT, 18
127, English-EWT, 10
128, English-EWT, 24
129, English-EWT, 58
130, English-EWT, 49
131, English-EWT, 20
132, English-EWT, 24
133, English-EWT, 7
134, English-EWT, 18
135, English-EWT, 65
136, English-EWT, 33
137, English-EWT, 23
138, English-EWT, 20
139, English-EWT, 34
140, English-EWT, 27
141, English-EWT, 17
142, English-EWT, 12
143, English-EWT, 13
144, English-EWT, 13
145, English-EWT, 10
146, English-EWT, 11
147, English-EWT, 7
148, English-EWT, 46
149, English-EWT, 22
150, English-EWT, 19
151, English-EWT, 15
152, English-EWT, 9
153, English-EWT, 17
154, English-EWT, 20
155, English-EWT, 27
156, English-EWT, 24
157, English-EWT, 9
158, English-EWT, 9
159, English-EWT, 28
160, English-EWT, 28
161, English-EWT, 11
162, English-EWT, 18
163, English-EWT, 11
164, English-EWT, 9
165, English-EWT, 24
166, English-EWT, 32
167, English-EWT, 43
168, English-EWT, 14
169, English-EWT, 10
170, English-EWT, 10
171, English-EWT, 26
172, English-EWT, 35
173, English-EWT, 9
174, English-EWT, 23
175, English-EWT, 7
176, English-EWT, 50
177, English-EWT, 16
178, English-EWT, 29
179, English-EWT, 21
180, English-EWT, 16
181, English-EWT, 25
182, English-EWT, 27
183, English-EWT, 11
184, English-EWT, 20
185, English-EWT, 24
186, English-EWT, 22
187, English-EWT, 13
188, English-EWT, 22
189, English-EWT, 58
190, English-EWT, 39
191, English-EWT, 14
192, English-EWT, 12
193, English-EWT, 73
194, English-EWT, 6
195, English-EWT, 30
196, English-EWT, 9
197, English-EWT, 58
198, English-EWT, 9
199, English-EWT, 32
200, English-EWT-udpipe, 26
201, English-EWT-udpipe, 31
202, English-EWT-udpipe, 52
203, English-EWT-udpipe, 11
204, English-EWT-udpipe, 30
205, English-EWT-udpipe, 44
206, English-EWT-udpipe, 20
207, English-EWT-udpipe, 204
208, English-EWT-udpipe, 13
209, English-EWT-udpipe, 25
210, English-EWT-udpipe, 8
211, English-EWT-udpipe, 9
212, English-EWT-udpipe, 30
213, English-EWT-udpipe, 6
214, English-EWT-udpipe, 53
215, English-EWT-udpipe, 44
216, English-EWT-udpipe, 19
217, English-EWT-udpipe, 8
218, English-EWT-udpipe, 34
219, English-EWT-udpipe, 11
220, English-EWT-udpipe, 13
221, English-EWT-udpipe, 28
222, English-EWT-udpipe, 27
223, English-EWT-udpipe, 18
224, English-EWT-udpipe, 29
225, English-EWT-udpipe, 6
226, English-EWT-udpipe, 31
227, English-EWT-udpipe, 13
228, English-EWT-udpipe, 16
229, English-EWT-udpipe, 9
230, English-EWT-udpipe, 14
231, English-EWT-udpipe, 42
232, English-EWT-udpipe, 26
233, English-EWT-udpipe, 18
234, English-EWT-udpipe, 21
235, English-EWT-udpipe, 17
236, English-EWT-udpipe, 11
237, English-EWT-udpipe, 23
238, English-EWT-udpipe, 9
239, English-EWT-udpipe, 37
240, English-EWT-udpipe, 14
241, English-EWT-udpipe, 11
242, English-EWT-udpipe, 30
243, English-EWT-udpipe, 34
244, English-EWT-udpipe, 24
245, English-EWT-udpipe, 26
246, English-EWT-udpipe, 13
247, English-EWT-udpipe, 21
248, English-EWT-udpipe, 24
249, English-EWT-udpipe, 11
250, English-EWT-udpipe, 28
251, English-EWT-udpipe, 16
252, English-EWT-udpipe, 28
253, English-EWT-udpipe, 9
254, English-EWT-udpipe, 33
255, English-EWT-udpipe, 46
256, English-EWT-udpipe, 15
257, English-EWT-udpipe, 22
258, English-EWT-udpipe, 30
259, English-EWT-udpipe, 35
260, English-EWT-udpipe, 14
261, English-EWT-udpipe, 9
262, English-EWT-udpipe, 21
263, English-EWT-udpipe, 42
264, English-EWT-udpipe, 8
265, English-EWT-udpipe, 21
266, English-EWT-udpipe, 25
267, English-EWT-udpipe, 12
268, English-EWT-udpipe, 26
269, English-EWT-udpipe, 13
270, English-EWT-udpipe, 16
271, English-EWT-udpipe, 16
272, English-EWT-udpipe, 45
273, English-EWT-udpipe, 22
274, English-EWT-udpipe, 18
275, English-EWT-udpipe, 6
276, English-EWT-udpipe, 22
277, English-EWT-udpipe, 16
278, English-EWT-udpipe, 26
279, English-EWT-udpipe, 40
280, English-EWT-udpipe, 24
281, English-EWT-udpipe, 42
282, English-EWT-udpipe, 17
283, English-EWT-udpipe, 13
284, English-EWT-udpipe, 25
285, English-EWT-udpipe, 17
286, English-EWT-udpipe, 73
287, English-EWT-udpipe, 7
