id, type, tree size
0, English-EWT, 17
1, English-EWT, 10
2, English-EWT, 46
3, English-EWT, 31
4, English-EWT, 9
5, English-EWT, 15
6, English-EWT, 17
7, English-EWT, 19
8, English-EWT, 35
9, English-EWT, 12
10, English-EWT, 13
11, English-EWT, 10
12, English-EWT, 14
13, English-EWT, 11
14, English-EWT, 12
15, English-EWT, 40
16, English-EWT, 13
17, English-EWT, 7
18, English-EWT, 25
19, English-EWT, 23
20, English-EWT, 25
21, English-EWT, 36
22, English-EWT, 28
23, English-EWT, 31
24, English-EWT, 25
25, English-EWT, 14
26, English-EWT, 8
27, English-EWT, 12
28, English-EWT, 35
29, English-EWT, 19
30, English-EWT, 15
31, English-EWT, 9
32, English-EWT, 8
33, English-EWT, 18
34, English-EWT, 7
35, English-EWT, 23
36, English-EWT, 23
37, English-EWT, 39
38, English-EWT, 31
39, English-EWT, 27
40, English-EWT, 27
41, English-EWT, 22
42, English-EWT, 17
43, English-EWT, 9
44, English-EWT, 28
45, English-EWT, 16
46, English-EWT, 39
47, English-EWT, 29
48, English-EWT, 34
49, English-EWT, 41
50, English-EWT, 10
51, English-EWT, 13
52, English-EWT, 22
53, English-EWT, 37
54, English-EWT, 14
55, English-EWT, 18
56, English-EWT, 7
57, English-EWT, 26
58, English-EWT, 11
59, English-EWT, 10
60, English-EWT, 14
61, English-EWT, 9
62, English-EWT, 38
63, English-EWT, 8
64, English-EWT, 14
65, English-EWT, 8
66, English-EWT, 21
67, English-EWT, 25
68, English-EWT, 22
69, English-EWT, 20
70, English-EWT, 15
71, English-EWT, 34
72, English-EWT, 31
73, English-EWT, 7
74, English-EWT, 7
75, English-EWT, 23
76, English-EWT, 26
77, English-EWT, 46
78, English-EWT, 10
79, English-EWT, 11
80, English-EWT, 21
81, English-EWT, 20
82, English-EWT, 15
83, English-EWT, 16
84, English-EWT, 16
85, English-EWT, 29
86, English-EWT, 19
87, English-EWT, 15
88, English-EWT, 6
89, English-EWT, 44
90, English-EWT, 31
91, English-EWT, 6
92, English-EWT, 19
93, English-EWT, 26
94, English-EWT, 13
95, English-EWT, 35
96, English-EWT, 6
97, English-EWT, 16
98, English-EWT, 6
99, English-EWT, 12
100, English-EWT, 12
101, English-EWT, 17
102, English-EWT, 32
103, English-EWT, 7
104, English-EWT, 7
105, English-EWT, 25
106, English-EWT, 52
107, English-EWT, 35
108, English-EWT, 13
109, English-EWT, 7
110, English-EWT, 19
111, English-EWT, 7
112, English-EWT, 9
113, English-EWT, 7
114, English-EWT, 6
115, English-EWT, 15
116, English-EWT, 16
117, English-EWT, 12
118, English-EWT, 14
119, English-EWT, 19
120, English-EWT, 40
121, English-EWT, 6
122, English-EWT, 24
123, English-EWT, 16
124, English-EWT, 22
125, English-EWT, 15
126, English-EWT, 14
127, English-EWT, 12
128, English-EWT, 12
129, English-EWT, 7
130, English-EWT, 7
131, English-EWT, 39
132, English-EWT, 19
133, English-EWT, 19
134, English-EWT, 30
135, English-EWT, 8
136, English-EWT, 21
137, English-EWT, 17
138, English-EWT, 7
139, English-EWT, 24
140, English-EWT, 9
141, English-EWT, 17
142, English-EWT, 42
143, English-EWT, 16
144, English-EWT, 14
145, English-EWT, 11
146, English-EWT, 11
147, English-EWT, 38
148, English-EWT, 29
149, English-EWT, 17
150, English-EWT, 17
151, English-EWT, 15
152, English-EWT, 17
153, English-EWT, 15
154, English-EWT, 31
155, English-EWT, 28
156, English-EWT, 9
157, English-EWT, 11
158, English-EWT, 10
159, English-EWT, 40
160, English-EWT, 27
161, English-EWT, 6
162, English-EWT, 17
163, English-EWT, 8
164, English-EWT, 11
165, English-EWT, 6
166, English-EWT, 38
167, English-EWT, 15
168, English-EWT, 6
169, English-EWT, 28
170, English-EWT, 42
171, English-EWT, 16
172, English-EWT, 10
173, English-EWT, 29
174, English-EWT, 44
175, English-EWT, 11
176, English-EWT, 6
177, English-EWT, 12
178, English-EWT, 22
179, English-EWT, 15
180, English-EWT, 45
181, English-EWT, 10
182, English-EWT, 24
183, English-EWT, 14
184, English-EWT, 23
185, English-EWT, 7
186, English-EWT, 10
187, English-EWT, 7
188, English-EWT, 11
189, English-EWT, 37
190, English-EWT, 24
191, English-EWT, 16
192, English-EWT, 13
193, English-EWT, 28
194, English-EWT, 7
195, English-EWT, 19
196, English-EWT, 21
197, English-EWT, 60
198, English-EWT, 10
199, English-EWT, 11
200, Rand-English-EWT-CF, 18
201, Rand-English-EWT-CF, 26
202, Rand-English-EWT-CF, 44
203, Rand-English-EWT-CF, 8
204, Rand-English-EWT-CF, 11
205, Rand-English-EWT-CF, 7
206, Rand-English-EWT-CF, 37
207, Rand-English-EWT-CF, 135
208, Rand-English-EWT-CF, 14
209, Rand-English-EWT-CF, 9
210, Rand-English-EWT-CF, 38
211, Rand-English-EWT-CF, 6
212, Rand-English-EWT-CF, 21
213, Rand-English-EWT-CF, 8
214, Rand-English-EWT-CF, 8
215, Rand-English-EWT-CF, 10
216, Rand-English-EWT-CF, 60
217, Rand-English-EWT-CF, 7
218, Rand-English-EWT-CF, 11
219, Rand-English-EWT-CF, 9
220, Rand-English-EWT-CF, 17
221, Rand-English-EWT-CF, 15
222, Rand-English-EWT-CF, 24
223, Rand-English-EWT-CF, 39
224, Rand-English-EWT-CF, 95
225, Rand-English-EWT-CF, 8
226, Rand-English-EWT-CF, 9
227, Rand-English-EWT-CF, 9
228, Rand-English-EWT-CF, 22
229, Rand-English-EWT-CF, 10
230, Rand-English-EWT-CF, 23
231, Rand-English-EWT-CF, 6
232, Rand-English-EWT-CF, 15
233, Rand-English-EWT-CF, 42
234, Rand-English-EWT-CF, 11
235, Rand-English-EWT-CF, 6
236, Rand-English-EWT-CF, 53
237, Rand-English-EWT-CF, 15
238, Rand-English-EWT-CF, 32
239, Rand-English-EWT-CF, 8
240, Rand-English-EWT-CF, 9
241, Rand-English-EWT-CF, 38
242, Rand-English-EWT-CF, 160
243, Rand-English-EWT-CF, 7
244, Rand-English-EWT-CF, 8
245, Rand-English-EWT-CF, 7
246, Rand-English-EWT-CF, 17
247, Rand-English-EWT-CF, 125
248, Rand-English-EWT-CF, 38
249, Rand-English-EWT-CF, 7
250, Rand-English-EWT-CF, 99
251, Rand-English-EWT-CF, 32
252, Rand-English-EWT-CF, 24
253, Rand-English-EWT-CF, 11
254, Rand-English-EWT-CF, 37
255, Rand-English-EWT-CF, 10
256, Rand-English-EWT-CF, 13
257, Rand-English-EWT-CF, 12
258, Rand-English-EWT-CF, 18
259, Rand-English-EWT-CF, 8
260, Rand-English-EWT-CF, 14
261, Rand-English-EWT-CF, 19
262, Rand-English-EWT-CF, 7
263, Rand-English-EWT-CF, 10
264, Rand-English-EWT-CF, 7
265, Rand-English-EWT-CF, 14
266, Rand-English-EWT-CF, 6
267, Rand-English-EWT-CF, 9
268, Rand-English-EWT-CF, 6
269, Rand-English-EWT-CF, 38
270, Rand-English-EWT-CF, 60
271, Rand-English-EWT-CF, 22
272, Rand-English-EWT-CF, 143
273, Rand-English-EWT-CF, 51
274, Rand-English-EWT-CF, 20
275, Rand-English-EWT-CF, 8
276, Rand-English-EWT-CF, 9
277, Rand-English-EWT-CF, 53
278, Rand-English-EWT-CF, 49
279, Rand-English-EWT-CF, 17
280, Rand-English-EWT-CF, 12
281, Rand-English-EWT-CF, 6
282, Rand-English-EWT-CF, 22
283, Rand-English-EWT-CF, 90
284, Rand-English-EWT-CF, 15
285, Rand-English-EWT-CF, 436
286, Rand-English-EWT-CF, 52
287, Rand-English-EWT-CF, 9
288, Rand-English-EWT-CF, 6
289, Rand-English-EWT-CF, 40
290, Rand-English-EWT-CF, 14
291, Rand-English-EWT-CF, 6
292, Rand-English-EWT-CF, 7
293, Rand-English-EWT-CF, 48
294, Rand-English-EWT-CF, 17
295, Rand-English-EWT-CF, 13
296, Rand-English-EWT-CF, 21
297, Rand-English-EWT-CF, 6
298, Rand-English-EWT-CF, 10
299, Rand-English-EWT-CF, 57
300, Rand-English-EWT-CF, 9
301, Rand-English-EWT-CF, 29
302, Rand-English-EWT-CF, 7
303, Rand-English-EWT-CF, 17
304, Rand-English-EWT-CF, 6
305, Rand-English-EWT-CF, 7
306, Rand-English-EWT-CF, 109
307, Rand-English-EWT-CF, 6
308, Rand-English-EWT-CF, 8
309, Rand-English-EWT-CF, 7
310, Rand-English-EWT-CF, 9
311, Rand-English-EWT-CF, 124
312, Rand-English-EWT-CF, 9
313, Rand-English-EWT-CF, 15
314, Rand-English-EWT-CF, 10
